doi,source_pdf,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence
10.1038/s41467-019-12886-z,Dynamic_oxygen_adsorption_on_single-atomic_Ruthenium_catalys.pdf,"Achieving active and stable oxygen evolution reaction (OER) in acid media based on singleatom catalysts is highly promising for cost-effective and sustainable energy supply in proton electrolyte membrane electrolyzers. Here, we report an atomically dispersed Ru1-N4 site anchored on nitrogen-carbon support (Ru-N-C) as an efﬁcient and durable electrocatalyst for acidic OER. The single-atom Ru-N-C catalyst delivers an exceptionally intrinsic activity,",PEMWE3,foil,0.5 M H2SO4,300.0,10.0,1.0
10.1038/s41560-024-01674-9,Topological_semimetals_with_intrinsic_chirality_as_spin-cont.pdf,"Electrocatalytic water splitting is a promising approach for clean hydrogen production, but the process is hindered by the sluggish kinetics of the anodic oxygen evolution reaction (OER) owing to the spin-dependent electron transfer process. Efforts to control spin through chirality and magnetization have shown potential in enhancing OER performance. Here we harnessed the potential of topological chiral semimetals (RhSi, RhSn and RhBiS) and their spin-polarized Fermi surfaces to promote the spin-dependent electron transfer in the OER, addressing the traditional volcano-plot limitations. We show that OER activities follow the t­re­nd R­hS­i < RhSn < RhBiS, corresponding to the increasing extent of spin–orbit coupling (SOC). The chiral single crystals outperform achiral counterparts",RhBiS,foil,1 M KOH,135.0,10.0,1.0
10.1038/s41467-025-58570-3,Strain_heterogeneity_in_RuO2for_efficient_acidic_oxygen_evol.pdf,"Developing acid-stable and active ruthenium dioxide (RuO2) catalysts for the oxygen evolution reaction (OER) is crucial for facilitating the large-scale applications of proton exchange membrane water electrolysis (PEMWE) for hydrogen production. Here, we propose a strain heterogeneity engineering",Pt-RuO2,foil,0.5 M H2SO4,215.0,10.0,1.0
10.1038/s41467-025-61763-5,High-entropy_RuO2catalyst_with_dual-site_oxide_path_for_dura.pdf,Developing durable acidic oxygen evolution reaction catalysts is critical for industrial proton exchange membrane water electrolyzers. We incorporate,RuO2-HEAE,foil,0.1 M HCLO4,201.0,10.0,1.0
10.1038/s41467-024-51521-4,Boosting_oxygen_evolution_reaction_by_FeNi_hydroxide-organic.pdf,"The oxygen evolution reaction plays a vital role in modern energy conversion and storage, and developing cost-efﬁcient oxygen evolution reaction catalysts with industrially relevant activity and durability is highly desired but still challenging. Here, we report an efﬁcient and durable FeNi hydroxide organic framework nanosheet array catalyst that competently affords long-term oxygen evolution reaction at industrial-grade current densities in alkaline electrolyte. The desirable high-intensity performance is attributed to three aspects as follows. First, two-dimensional nanosheet porous arrays with maximum speciﬁc surface facilitate mass/charge transfer to accommodate high-currentdensity catalysis. Second, in situ derived FeNi hydroxide motifs offer bimetallic synergistic catalysis centers with high intrinsic activity. Third, carboxyl ligands alleviate metal oxidation favorable for charge tolerability against peroxidation dissolution under strong polarization. As a result, this catalyst requires an overpotential of only 280 mV to deliver high current density up to 1 A/cm2 with long durability over 1000 h. Moreover, an alkaline water electrolyzer with this catalyst alternative demonstrates an increased economic effectiveness compared to commercial levels at present. The oxygen evolution reaction (OER) is an indispensable stepping stone to support various cathodic reactions1–5, such as hydrogen evolution reaction (HER), carbon dioxide reduction reaction (CO2RR) and nitrogen reduction reaction (NRR), for renewable energy conversion and storage. However, the OER efﬁciency generally suffers from the sluggish kinetics in the multistep electron-proton coupled transfer",Ni/Fe,foam,1.0 M KOH,284.0,200.0,1.0
10.1038/s41467-023-42646-z,Active_oxygen_species_mediate_the_iron-promoting_electrocata.pdf,"Iron is an extraordinary promoter to impose nickel/cobalt (hydr)oxides as the most active oxygen evolution reaction catalysts, whereas the synergistic effect is actively debated. Here, we unveil that active oxygen species mediate a strong electrochemical interaction between iron oxides (FeOxHy) and the supporting metal oxyhydroxides. Our survey on the electrochemical behavior of nine supporting metal oxyhydroxides (M(O)OH) uncovers that FeOxHy synergistically promotes substrates that can produce active oxygen species exclusively. Tafel slopes correlate with the presence and kind of oxygen species. Moreover, the oxygen evolution reaction onset potentials of FeOxHy@M(O)OH coincide with the emerging potentials of active oxygen species, whereas large potential gaps are present for intact M(O)OH. Chemical probe experiments suggest that active oxygen species could act as proton acceptors and/or mediators for proton transfer and/or diffusion in cooperative catalysis. This discovery offers a new insight to understand the synergistic catalysis of Fe-based oxygen evolution reaction electrocatalysts. Electrochemical water splitting plays a key role in storing intermittent renewable energies (such as solar and wind energies) in the chemical energy of hydrogen and oxygen1. Of the two half-reactions of water splitting, that is hydrogen evolution reaction (HER) at the cathode and oxygen evolution reaction (OER, 4OH−→O2 + 2H2O + 4e−in base) at the anode, OER is the bottleneck reaction due to the sluggish kinetics2.",,foil,1 M KOH,660.0,10.0,0.75
10.1038/s41699-023-00377-1,Understanding_the_effect_of_MXene_in_a_TMOMXene_hybrid_catal.pdf,"Very recently, it has been reported that mixed transition metal oxide (TMO)/MXene catalysts show improved performance over TMO only catalysts for the oxygen evolution reaction (OER). However, the reasoning behind this observation is unknown. In this work mixed Co(OH)2/Ti3C2Tx were prepared and characterized for the OER using ex situ and operando spectroscopy techniques in order to initiate the understanding of why mixed TMO/MXene materials show better performances compared to TMO only catalysts. This work shows that the improved electrocatalysis for the composite material compared to the TMO only catalyst is due to the presence of higher Co oxide oxidation states at lower OER overpotentials for the mixed TMO/MXene catalysts. Furthermore, the presence of the MXene allows for a more mechanically robust ﬁlm during OER, making the ﬁlm more stable. Finally, our results show that small amounts of MXene are more advantageous for the OER during long-term stability measurements, which is linked to the formation of TiO2. The sensitivity of MXene oxidation ultimately limits TMO/MXene composites under alkaline OER conditions, meaning mass fractions must be carefully considered when designing such a catalyst to minimize the residual TiO2 formed during its lifetime.",FeNi-LDH/Ti3C2Tx,foam,1 M NAOH,500.0,10.0,1.0
10.1038/s41467-023-41359-7,Synergistic_effects_of_mixing_and_strain_in_high_entropy_spi.pdf,"Developing stable and efﬁcient electrocatalysts is vital for boosting oxygen evolution reaction (OER) rates in sustainable hydrogen production. Highentropy oxides (HEOs) consist of ﬁve or more metal cations, providing opportunities to tune their catalytic properties toward high OER efﬁciency. This work combines theoretical and experimental studies to scrutinize the OER activity and stability for spinel-type HEOs. Density functional theory conﬁrms that randomly mixed metal sites show thermodynamic stability, with intermediate adsorption energies displaying wider distributions due to mixinginduced equatorial strain in active metal-oxygen bonds. The rapid sol-ﬂame method is employed to synthesize HEO, comprising ﬁve 3d-transition metal cations, which exhibits superior OER activity and durability under alkaline conditions, outperforming lower-entropy oxides, even with partial surface oxidations. The study highlights that the enhanced activity of HEO is primarily attributed to the mixing of multiple elements, leading to strain effects near the active site, as well as surface composition and coverage. The transition from fossil fuel-based to renewable energy-based society requires efﬁcient and clean energy carriers, such as electrons",CoNiMnZnFe,mesh,1 M KOH,336.0,10.0,1.0
10.1038/s41467-023-41036-9,Stable_and_oxidative_charged_Ru_enhance_the_acidic_oxygen_ev.pdf,"The oxygen evolution reactions in acid play an important role in multiple energy storage devices. The practical promising Ru-Ir based catalysts need both the stable high oxidation state of the Ru centers and the high stability of these Ru species. Here, we report stable and oxidative charged Ru in two-",Ru0.5Ir0.5O2,foil,0.5 M H2SO4,151.0,10.0,1.0
10.1038/s41467-021-25095-4,Spin-state_reconfiguration_induced_by_alternating_magnetic_f.pdf,"Oxygen evolution reaction (OER) plays a determining role in electrochemical energy conversion devices, but challenges remain due to the lack of effective low-cost electrocatalysts and insufﬁcient understanding about sluggish reaction kinetics. Distinguish from complex nano-structuring, this work focuses on the spin-related charge transfer and orbital interaction between catalysts and intermediates to accelerate catalytic reaction kinetics. Herein, we propose a simple magnetic-stimulation approach to rearrange spin electron occupation in noble-metal-free metal-organic frameworks (MOFs) with a feature of thermal-differentiated superlattice, in which the localized magnetic heating in periodic spatial distribution makes the spin ﬂip occur at particular active sites, demonstrating a spin-dependent reaction pathway.",MOFs,foam,1 M KOH,100.0,100.0,1.0
10.1038/s41467-022-31468-0,RuO2electronic_structure_and_lattice_strain_dual_engineering.pdf,Developing highly active and durable electrocatalysts for acidic oxygen evolution reaction remains a great challenge due to the sluggish kinetics of the four-electron transfer reaction and severe catalyst dissolution. Here we report an electrochemical lithium intercalation method to improve both the activity and stability of RuO2 for acidic oxygen evolution reac-,LixRuO2 solid solution phase,glassy carbon,0.5 M H2SO4,156.0,10.0,1.0
10.1038/s41467-019-13051-2,Missing-linker_metal-organic_frameworks_for_oxygen_evolution.pdf,"Metal-organic frameworks (MOFs) have been recognized as compelling platforms for the development of miscellaneous applications because of their structural diversity and functional tunability. Here, we propose that the electrocatalytic properties could be well modiﬁed by incorporating missing linkers into the MOF. Theoretical calculations suggest the electronic structure of MOFs can be tuned by introducing missing linkers, which improves oxygen evolution reaction (OER) performance of the MOF. Inspired by these aspects, we introduced various missing linkers into a layered-pillared MOF Co2(OH)2(C8H4O4) (termed as CoBDC) to prepare missing-linker MOFs. Transmission electron microscope and synchrotron X-ray measurements conﬁrmed that the missing linkers in the MOF could be introduced and well controlled by our strategy. The self-supported MOF nanoarrays with missing linkers of carboxyferrocene exhibit excellent OER performance with ultralow overpotential of 241 mV at 100 mA cm−2. This work opens a new prospect to develop efﬁcient MOF-based electrocatalysts by introducing missing linkers.",CoBDC,nickel foam,1 M KOH,378.0,10.0,1.0
10.1038/s41598-025-34856-w,Lithium-ion_battery_waste_as_a_robust_oxygen_evolution_react.pdf,"Electrocatalytic seawater splitting seems to be the most promising and urgent demand strategy for clean hydrogen energy production. Utilizing low-cost electrocatalysts is pivotal in the hydrogen economy, as seawater splitting can be made highly efficient and more economical. To meet these expectations, we proposed a novel utilization for the black carbon mass left over from hydrometallurgical metal recovery as an efficient and stable electrocatalyst for oxygen evolution",,glassy carbon,1.5 M H2SO4,286.0,10.0,0.75
10.1038/s41467-018-08144-3,Chromium-ruthenium_oxide_solid_solution_electrocatalyst_for_.pdf,"The development of active, acid-stable and low-cost electrocatalysts for oxygen evolution reaction is urgent and challenging. Herein we report an Iridium-free and low rutheniumcontent oxide material (Cr0.6Ru0.4O2) derived from metal-organic framework with remarkable oxygen evolution reaction performance in acidic condition. It shows a record low overpotential of 178 mV at 10 mA cm−2 and maintains the excellent performance throughout",H4ClO4,foil,0.5 M H2SO4,430.0,10.0,1.0
10.1038/s41467-022-33847-z,Exceptional_catalytic_activity_of_oxygen_evolution_reaction_.pdf,"Oxygen evolution reaction (OER) plays a key role in many renewable energy technologies such as water splitting and metal-air batteries. Metal-organic frameworks (MOFs) are appealing to design efﬁcient OER electrocatalysts, however, their intrinsic poor conductivity strongly hinders the activity. Here, we show a strategy to boost the OER activity of poor-conductive MOFs by conﬁning them between graphene multilayers. The resultant NiFe-MOF//G gives a record-low overpotential of 106 mV to reach 10 mA cm−2 and retains the activity over 150 h, which is in signiﬁcant contrast to 399 mV of the pristine NiFe-MOF. We use X-ray absorption spectroscopy (XAS) and computations to demonstrate that the nanoconﬁnement from graphene multilayers not only forms highly reactive NiO6-FeO5 distorted octahedral species in MOF structure but also lowers limiting potential for water oxidation reaction. We also demonstrate that the strategy is applicable to other MOFs of different structures to largely enhance their electrocatalytic activities. Electrochemical conversion of water in virtue of electrocatalysts to produce eco-friendly and sustainable hydrogen energy source has been widely studied for decades1. As the bottleneck of water splitting, oxygen evolution reaction (OER) at the anode requires a relatively large thermodynamic potential (over 1.23 V vs. reversible hydrogen electrode, RHE) to overcome the sluggish kinetics due to its four ‘electron-",NiFe-MOF,foil,1.0 M KOH,106.0,10.0,1.0
10.1038/s41467-024-44815-0,Site-specific_metal-support_interaction_to_switch_the_activi.pdf,"The metal-support interactions (MSI) could greatly determine the electronic properties of single-atom catalysts, thus affecting the catalytic performance. However, the typical approach to regulating MSI usually suffers from interference of the variation of supports or sacriﬁcing the stability of catalysts. Here, we effectively regulate the site-speciﬁc MSI of Ir single atoms anchored on Ni layered double hydroxide through an electrochemical deposition strategy. Cathodic deposition drives Ir atoms to locate at three-fold facial center cubic hollow sites with strong MSI, while anodic deposition drives Ir atoms to deposit onto oxygen vacancy sites with weak MSI. The mass activity and intrinsic activity of Ir single-atom catalysts with strong MSI towards oxygen evolution reaction are 19.5 and 5.2 times that with weak MSI, respectively. Mechanism study reveals that the strong MSI between Ir atoms and the support stimulates the activity of Ir sites by inducing the switch of active sites from Ni sites to Ir sites and optimizes the adsorption strength of intermediates, thereby enhancing the activity. Single-atom catalysts (SACs) have recently drawn extensive attention in the ﬁeld of energy catalysis due to their excellent catalytic activity originated from the high atomic utilization and unique electronic environment1–5. In SACs, the metal atoms individually dispersed on supports directly interact with the supports, maximizing the",Ir1/Ni LDH-T,foil,1.0 M KOH,289.0,10.0,1.0
10.1038/s41467-023-40177-1,Synergy_of_dual-atom_catalysts_deviated_from_the_scaling_rel.pdf,"Dual-atom catalysts, particularly those with heteronuclear active sites, have the potential to outperform the well-established single-atom catalysts for oxygen evolution reaction, but the underlying mechanistic understanding is still lacking. Herein, a large-scale density functional theory is employed to explore the feasibility of *O-*O coupling mechanism, which can circumvent the scaling relationship with improving the catalytic performance of N-doped graphene supported Fe-, Co-, Ni-, and Cu-containing heteronuclear dual-atom catalysts, namely, M’M@NC. Based on the constructed activity maps, a rationally designed descriptor can be obtained to predict homonuclear catalysts. Seven heteronuclear and four homonuclear dual-atom catalysts possess high activities that outperform the minimum theoretical overpotential. The chemical and structural origin in favor of *O-*O coupling mechanism thus leading to enhanced reaction activity have been revealed. This work not only provides additional insights into the fundamental understanding of reaction mechanisms, but also offers a guideline for the accelerated discovery of efﬁcient catalysts. Oxygen evolution reaction (OER) is a vital process for water splitting, fuel cells, and metal-air batteries1–3. Essentially, the OER process is a thermodynamically uphill reaction with multi-step proton-coupled electron transfer, and the sluggish kinetics requires high-performance catalysts to reduce the reaction overpotential for practical",CoNi@NC,mesh,,252.0,10.0,0.9
10.1038/s41467-025-58163-0,Atomic-scale_self-rearrangement_of_hetero-metastable_phases_.pdf,"Maximizing metal-substrate interactions by self-reconstruction of coadjutant metastable phases can be a delicate strategy to obtain robust and efﬁcient high-density single-atom catalysts. Here, we prepare high-density iridium atoms embedded ultrathin CoCeOOH nanosheets (CoCe-O-IrSA) by the electrochemistry-initiated synchronous evolution between metastable iridium intermediates and symmetry-breaking CoCe(OH)2 substrates. The CoCe-O-IrSA delivers an overpotential of 187 mV at 100 mA cm−2 and a steady lifespan of 1000 h at 500 mA cm−2 for oxygen evolution reaction. Furthermore, the CoCeO-IrSA is applied as a robust anode in an anion-exchange-membrane water electrolysis cell for seawater splitting at 500 mA cm−2 for 150 h. Operando experimental and theoretical calculation results demonstrate that the reconstructed thermodynamically stable iridium single atoms act as highly active sites by regulating charge redistribution with strongly p-d-f orbital couplings, enabling electron transfer facilitated, the adsorption energies of intermediates optimized, and the surface reactivity of Co/Ce sites activated, leading to high oxygen evolution performance. These results open up an approach for engineering metastable phases to realize stable single-atom systems under ambient conditions toward efﬁcient energy-conversion applications. Developing high-performance oxygen evolution reaction (OER) electrocatalysts is core to the renewable energy-related conversion processes (e.g., water electrolysis, metal-air batteries, carbon dioxide reduction, and nitrogen reduction), which generally require a large overpotential to overcome its sluggish kinetics1. Single-atom catalysts (SACs) feature spatially isolated metal atoms and maximized atomic utilization efﬁciency, sparking enormous interest as a class of promising materials2. In this regard, high-density SACs have been pursued to increase the number of available active sites to maximize OER performance3. However, the individual metal atoms generally tend to agglomerate into clusters or nanoparticles through the Ostwald ripening process owing to the weak metal-substrate interactions, especially for densely populated single atoms (SAs)4. Besides, the SAs are prone to segregation from the support due to weak interactions with substrates during the OER, resulting in decreased stability5. Therefore, it is urgent to simultaneously address the challenges of",CoCe-O-IrSA,nickel foam,1.0 M KOH,187.0,100.0,1.0
