doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,extraction_note,anchor_found,anchor_sentence
10.1038/s41467-021-22865-y,Spin-polarized_oxygen_evolution_reaction_under_magnetic_fiel.pdf,OPEN,"The oxygen evolution reaction (OER) is the bottleneck that limits the energy efﬁciency of water-splitting. The process involves four electrons’ transfer and the generation of triplet state O2 from singlet state species (OHor H2O). Recently, explicit spin selection was described as a possible way to promote OER in alkaline conditions, but the speciﬁc spinpolarized kinetics remains unclear. Here, we report that by using ferromagnetic ordered catalysts as the spin polarizer for spin selection under a constant magnetic ﬁeld, the OER can be enhanced. However, it does not applicable to non-ferromagnetic catalysts. We found that the spin polarization occurs at the ﬁrst electron transfer step in OER, where coherent spin exchange happens between the ferromagnetic catalyst and the adsorbed oxygen species with fast kinetics, under the principle of spin angular momentum conservation. In the next three electron transfer steps, as the adsorbed O species adopt ﬁxed spin direction, the OER electrons need to follow the Hund rule and Pauling exclusion principle, thus to carry out spin polarization spontaneously and ﬁnally lead to the generation of triplet state O2. Here, we showcase spin-polarized kinetics of oxygen evolution reaction, which gives references in the understanding and design of spin-dependent catalysts. https://doi.org/10.1038/s41467-021-22865-y OPEN",H2O,glassy carbon,1 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41467-021-24453-6,Detection_of_high-valent_iron_species_in_alloyed_oxidic_coba.pdf,OPEN,"Iron alloying of oxidic cobaltate catalysts results in catalytic activity for oxygen evolution on par with Ni-Fe oxides in base but at much higher alloying compositions. Zero-ﬁeld 57Fe Mössbauer spectroscopy and X-ray absorption spectroscopy (XAS) are able to clearly identify Fe4+ in mixed-metal Co-Fe oxides. The highest Fe4+ population is obtained in the 40–60% Fe alloying range, and XAS identiﬁes the ion residing in an octahedral oxide ligand ﬁeld. The oxygen evolution reaction (OER) activity, as reﬂected in Tafel analysis of CoFeOx ﬁlms in 1 M KOH, tracks the absolute concentration of Fe4+. The results reported herein suggest an important role for the formation of the Fe4+ redox state in activating cobaltate OER catalysts at high iron loadings.",Ni-Fe oxides,,1 M KOH,,,0.35,material_without_anchor,False,
10.1038/s41467-025-63181-z,Adsorbed_oxygen_dynamics_at_forced_convection_interface_in_t.pdf,Adsorbed oxygen dynamics at forced convection interface in the oxygen evolution reaction,"Adsorbed oxygen dynamics at forced convection interface in the oxygen evolution reaction Zhixuan Chen , Ze Lin , Xiaoyu Zhu, Yahui Li & Ying Wang The oxygen evolution reaction is a prevalent anodic reaction in electrocatalytic processes. Modulation of adsorbed oxygen (*O) at the electrochemical interface is an effective means to reduce the overpotential of the oxygen evolution reaction. However, the contribution of various *O conversions to the overpotential remains unclear. Herein, the development of a multicomponent forced convection electrochemical mass spectrometry constructs *O-labeled electrochemical interfaces with speciﬁc coverages to track the *O conversions. The relationships between the Faradic contributions and the speciﬁc *O conversion pathways are established by considering the anomalous fractionation of molecule oxygen. Our experiments conﬁrm that *O coupling contributes up to 48% with a speciﬁc overpotential on full coverage platinum. Distinguishing the *O conversion contributions with various coverages reveals that balancing the *O formation and conversions, especially *O coupling enables further minimization of the overpotential of the oxygen evolution reaction. Thus, tracking the intermediate conversions has implications for designing high-performance electrocatalytic interfaces. The oxygen evolution reaction (OER) is the most prevalent anodic reaction for providing protons and electrons in electrocatalytic pro-",,glassy carbon,0.5 M H2SO4,,,0.3,missing_anchor,False,
10.1038/s41467-024-46801-y,The_formation_of_unsaturated_IrOxin_SrIrO3by_cobalt-doping_f.pdf,The formation of unsaturated IrOx in SrIrO3 by cobalt-doping for acidic oxygen evolution reaction,"Electrocatalytic water splitting is a promising route for sustainable hydrogen production. However, the high overpotential of the anodic oxygen evolution reaction poses signiﬁcant challenge. SrIrO3-based perovskite-type catalysts have shown great potential for acidic oxygen evolution reaction, but the origins of their high activity are still unclear. Herein, we develop a Co-doped SrIrO3 system to enhance oxygen evolution reaction activity and elucidate the origin of catalytic activity. In situ experiments reveal Co activates surface lattice oxygen, rapidly exposing IrOx active sites, while bulk Co doping optimizes the adsorbate binding energy of IrOx. The Co-doped SrIrO3 demonstrates high oxygen evolution reaction electrocatalytic activity, markedly surpassing the commercial IrO2 catalysts in both conventional electrolyzer and proton exchange membrane water electrolyzer. Water splitting for hydrogen production offers the advantage of pro-",SI6C1,mesh,0.5 M H2SO4,245,10,1.0,complete,True,"2a. The results indicate that SI6C1 necessitates an overpotential of only 245 mV to reach a current density of 10 mA/cm2, which is approximately 5 times higher than that of SI at the same potential."
10.1038/s41467-025-61367-z,Oxygen_evolution_reaction_on_IrO2110_is_governed_by_Walden-t.pdf,Oxygen evolution reaction on IrO2(110) is governed by Walden-type mechanisms,"Oxygen evolution reaction (OER) is a key process for sustainable energy, although renewable sources require the use of proton exchange membrane electrolyzers, with IrO2-based materials being the gold standard under anodic polarization conditions. However, even for the (110) facet of a single-crystalline IrO2 model electrode, the reaction mechanism is not settled yet due to contradictory reports in literature. In the present manuscript, we disentangle the conﬂicting results of previous theoretical studies in the density functional theory approximation. We demonstrate that dissimilar reaction mechanisms and limiting steps for the OER over IrO2(110) are obtained for different active surface conﬁgurations present on the IrO2 electrode. In contrast to previous studies, we factor Walden-type mechanisms, in which the formation of the product O2 and adsorption of the reactant H2O occur simultaneously, into the analysis of the elementary steps. Combining free-energy diagrams along the reaction coordinate and Bader charge analysis of the active site, we elucidate why mononuclearor bifunctional-Walden pathways excel the traditional OER mechanisms for the OER over IrO2(110). Our computational methodology to identify the reaction mechanism and limiting step of proton-coupled electron transfer steps is widely applicable to electrochemical processes in the ﬁeld of energy conversion and storage. Oxygen evolution reaction (OER) – 2 H2O →O2 + 4 H+ + 4 e–,",IrO2,carbon felt,,,,0.45,material_without_anchor,False,
10.1038/s41467-026-72954-z,Platinum_oxide_formation_under_oxygen_evolution_reaction_con.pdf,Platinum oxide formation under oxygen evolution reaction conditions,"Electrocatalyst degradation, often caused by oxidative processes, forms a large barrier for the wide-spread application of electrolysers and fuel cells, which are crucial for a sustainable energy society. A detailed understanding of the catalyst surface structure under oxygen evolution reaction (OER) conditions is, therefore, required to design more stable catalysts. Here, we study the oxidation of a Pt(111) model electrode under operando conditions combining High-Energy Surface X-ray Diffraction (HE-SXRD) with a Rotating Disk Electrode (RDE) in a unique experimental setup. This approach allows us to follow the atomic structure of the electrode-electrolyte interface under oxygen evolution reaction conditions under hitherto unexplored potential regimes. We ﬁnd that the Pt(111) surface gets electro-oxidized in a layer-by-layer fashion. From ex situ X-ray Reﬂectivity (XRR) and X-ray Photoelectron Spectroscopy (XPS) measurements we ﬁnd that a sub-nm thick, PtO2 oxide ﬁlm is forming, which deactivates the surface and leads to surface roughening. Our results provide important insights into the electrochemical oxidation of platinum electrocatalysts and resolves crucial differences to thermal oxidation processes. Platinum is the electrocatalyst material of choice in many electrochemical energy conversion devices, due to its high activity for water splitting in electrolyzers and the reverse reactions in hydrogen fuel",PtO2 oxide,,0.1 M HCLO4,,,0.35,material_without_anchor,False,
10.1038/s41467-021-26025-0,Restructuring_highly_electron-deficient_metal-metal_oxides_f.pdf,OPEN,"The poor catalyst stability in acidic oxidation evolution reaction (OER) has been a long-time issue. Herein, we introduce electron-deﬁcient metal on semiconducting metal oxidesconsisting of Ir (Rh, Au, Ru)-MoO3 embedded by graphitic carbon layers (IMO) using an electrospinning method. We systematically investigate IMO’s structure, electron transfer behaviors, and OER catalytic performance by combining experimental and theoretical studies. Remarkably, IMO with an electron-deﬁcient metal surface (Irx+; x > 4) exhibit a low overpotential of only ~156 mV at 10 mA cm−2 and excellent durability in acidic media due to the high oxidation state of metal on MoO3. Furthermore, the proton dissociation pathway is suggested via surface oxygen serving as proton acceptors. This study suggests high stability with high catalytic performance in these materials by creating electron-deﬁcient surfaces and provides a general, unique strategy for guiding the design of other metal-semiconductor nanocatalysts.",MoO3,foil,0.5 M H2SO4,156,10,1.0,complete,True,"We systematically investigate IMO’s structure, electron transfer behaviors, and OER catalytic performance by combining experimental and theoretical studies. Remarkably, IMO with an electron-deﬁcient metal surface (Irx+; x > 4) exhibit a low overpotential of only ~156 mV at 10 mA cm−2 and excellent durability in acidic media due to the high oxidation state of metal on MoO3."
10.1038/s41565-024-01807-x,Out-of-plane_coordination_of_iridium_single_atoms_with_organ.pdf,Out-of-plane coordination of iridium single atoms with organic molecules and cobalt–iron hydroxides to boost oxygen evolution reaction,"Advancements in single-atom-based catalysts are crucial for enhancing oxygen evolution reaction (OER) performance while reducing precious metal usage. A comprehensive understanding of underlying mechanisms will expedite this progress further. Here we report Ir single atoms coordinated out-of-plane w­it­h d­im­et­hy­li­mi­dazole (MI) on CoFe hydroxide (Ir1/(Co,Fe)-OH/MI). This Ir1/(Co,Fe)-OH/MI catalyst, which was prepared using a simple immersion method, delivers ultralow overpotentials of 179 mV at a current density of 10 mA cm−2 and 257 mV at 600 mA cm−2 as well as an ultra-small Tafel slope of 24 mV dec−1. Furthermore, Ir1/(Co,Fe)-OH/MI has a total mass activity exceeding that of commercial IrO2 by a factor of 58.4. Ab initio simulations indicate that the coordination of MI leads to electron redistribution around the Ir sites. This causes a positive shift in the d­-­ba­nd c­en­tre a­t a­d­j­ac­ent Ir and Co sites, facilitating an optimal energy pathway for OER. Electrochemical water splitting powered by renewable electricity is a promising green pathway to realizing large-scale hydrogen",IrO2/RuO2,foil,1 M KOH,380,10,1.0,complete,True,"andidates owing to their cost-effectiveness and strong OER activity16–19. For instance, NiFe, CoFe and NiCo oxyhydroxides/ hydroxides show promising OER overpotentials; the reported values in the 220–350 mV (at 10 mA cm−2) range19–21 are comparable to those of commercial IrO2/RuO2 (300–380 mV at 10 mA cm−2)20,21."
10.1038/s41598-020-65674-x,Oxygen-evolution_reaction_by_nickelnickel_oxide_interface_in.pdf,1,"Ni oxide toward OER. Due to the change in the Ni(II)/(III) peak, it is hypothesized that Fe impurity in KOH or electrochemical cell has different effects at the potential range. At low potential, [FeO4]2− is reduced on the surface of the electrode, and thus, is significantly adsorbed on the electrode. Finally, oxygenevolution measurements of K2FeO4 and Ni2O3 are investigated under chemical conditions. K2FeO4 is not stable in the presence of Ni(II) oxide, and OER is observed in a KOH solution (pH ≈ 13). Rapid depletion of fossil fuels and environmental problems have forced humans to find clean and sustainable energy sources1. Water-splitting reaction is a promising strategy for storing energy2. One limitation of water-splitting reaction is OER3. Thus, finding an efficient, stable, low-cost, earth-abundant, and environmentally friendly catalyst for this reaction is a challenging issue4–8. Thomas A. Edison was the first to recognize the effect of Fe on decreasing the electrochemical capacity of Ni oxide. Following this finding, evidence from studies pointed to the fact that Fe ions significantly decrease",K2FeO4,foam,,,,0.45,material_without_anchor,False,
10.1038/s41467-024-55688-8,Tracking_the_correlation_between_spintronic_structure_and_ox.pdf,Tracking the correlation between spintronic structure and oxygen evolution reaction mechanism of cobalt-ruthenium-based electrocatalyst,"Regulating the spintronic structure of electrocatalysts can improve the oxygen evolution reaction performance efﬁciently. Nonetheless, the effects of tuning the spintronic structure for the oxygen evolution reaction mechanisms have rarely been discussed. Here, we show a ruthenium-cobalt-tin oxide with optimized spintronic structure due to the quantum spin interaction of Ru and Co. The speciﬁc spintronic structure of ruthenium-cobalt-tin oxide promotes the charge transfer kinetics and intermediates evolution behavior under applied potential, generating long-lived active species with higher spin density sites for the oxygen evolution reaction after the reconstruction process. Moreover, the ruthenium-cobalt-tin oxide possesses decoupled proton-electron transfer procedure during the oxygen evolution reaction process, demonstrating that the electron transfer procedure of O-O bond formation between *O intermediate and lattice oxygen in Co-O-Ru is the rate-determining step of the oxygen evolution reaction process. This work provides rational perspectives on the correlation between spintronic structure and oxygen evolution reaction mechanism. The industrial revolutions have introduced advanced technology to affect the lifestyle of human beings1. Behind the boom are environmental deterioration and energy crises due to the extreme dependence on fossil fuels. To date, considerable efforts have been devoted to developing sustainable methods to yield renewable fuel2–4. Electrochemistry technology is an efﬁcient way to produce green valueadded products, because of its fast reaction rates, optimized transformation efﬁciency, and high selectivity5–7. In particular, the oxygen evolution reaction (OER) is crucial for extending electrochemistry technology and plays an indispensable role in supplying protons and balancing charge. Generally, the OER involves a complex process which includes electron transfer, cleavage of O-H and O-O formation,",A-RSCOH,foil,1 M KOH,193,10,1.0,complete,True,"RHE. The optimal A-RSCOH only needs the overpotential of 193 mV to achieve 10 mA cm−2, demonstrating superior OER performance compared with that of SCOH and A-SCOH (Fig."
10.1038/s41467-025-63870-9,Boosting_and_stabilizing_oxygen_evolution_reaction_through_R.pdf,Boosting and stabilizing oxygen evolution reaction through Ru single atoms anchored amorphous NiMoOx electrocatalyst,"Efﬁcient and durable electrocatalysts for the oxygen evolution reaction (OER) are essential for advancing water splitting technologies, which enable sustainable hydrogen production. The integration of amorphous oxide supports with metal single atoms offers a promising strategy to precisely tuning the electronic structure and improving the exposure of active sites. Here, we report an amorphous NiMoOx support anchored with Ru single atoms",RuO2,foil,1 M KOH,220,10,1.0,complete,True,MO c-NMO RuO2 η=300 mV 0.2 0.4 0.6 0.8 1.0 1.2 100 200 300 400 500 a-RNMO a-NMO c-NMO RuO2 ) V m ( lait n e t o p r e v O Log (j (mA cm-2)) 122.38 mV dec-1 93.38 mV dec-1 45.15 mV dec-1 155.59 mV dec-1 1.3 1.4 1.5 1.6 1.7 0 30 60 90 120 m c A m ( j -2 geo) E - iR (V vs. RHE) a-RNMO a-NMO c-NMO RuO2 j = 10 mA cm-2 η = 220 mV Fig.
10.1038/s41467-017-00778-z,Oxygen_evolution_reaction_dynamics_monitored_by_an_individua.pdf,OPEN,"The oxygen evolution reaction involves complex interplay among electrolyte, solid catalyst, and gas-phase and liquid-phase reactants and products. Monitoring catalysis interfaces between catalyst and electrolyte can provide valuable insights into catalytic ability. But it is a challenging task due to the additive solid supports in traditional measurement. Here we design a nanodevice platform and combine on-chip electrochemical impedance spectroscopy measurement, temporary I-V measurement of an individual nanosheet, and molecular dynamic calculations to provide a direct way for nanoscale catalytic diagnosis. By removing O2 in electrolyte, a dramatic decrease in Tafel slope of over 20% and early onset potential of 1.344 V vs. reversible hydrogen electrode are achieved. Our studies reveal that O2 reduces hydroxyl ion density at catalyst interface, resulting in poor kinetics and negative catalytic performance. The obtained in-depth understanding could provide valuable clues for catalysis system design. Our method could also be useful to analyze other catalytic processes. DOI: 10.1038/s41467-017-00778-z OPEN",I-V,,0.1 M KOH,,,0.35,material_without_anchor,False,
10.1038/s41598-017-15688-9,Oxygen_Evolution_Reaction_at_Microporous_Pt_Layers_Different.pdf,OPEN 2,"Differentiated Electrochemical Activity between Acidic and Basic Media Taejung Lim , Moonchang Sung & Jongwon Kim Nanoporous electrodes have received great attention because of their unique electrochemical properties. Here, the electrocatalytic oxygen evolution reaction (OER) activities at porous Pt layers with pore dimensions in the microporous range were examined. The OER activity of the porous Pt layers in acidic media increased as the porosity of the Pt layers increased, and the highest OER activity possessed an overpotential that was 270 mV lower than that of a bulk flat electrode. The porous Pt layers did not exhibit electrocatalytic enhancement for OER in basic media, wherein the surface area of the pores was not utilized for OER. The differentiated OER activity of the porous Pt layers demonstrated the different accessibility of reactants in OER: water and hydrated hydroxide ions. The roles of the pores in the Pt layers during OER were investigated using different Pt structures. The work will give insight into the electrochemistry of microporous electrode structures. Nanoporous electrodes have received great attention because of their unique electrochemical properties and",The porous Pt layers,,0.1 M H2SO4,,,0.35,material_without_anchor,False,
